,problem,agent,raw_trials,trials_to_criterion,participant,fails,event,num_objects
62,17,Humans,,34,108.0,1,0,4
63,18,Humans,,5,108.0,0,1,6
64,19,Humans,,25,108.0,0,1,2
65,20,Humans,,9,108.0,0,1,2
56,11,Humans,,6,108.0,0,1,2
182,22,Humans,,1,128.0,0,1,3
160,23,Humans,,0,124.0,0,1,3
184,1,Humans,,0,12.0,0,1,2
301,3,Humans,,0,20.0,0,1,4
302,4,Humans,,0,20.0,0,1,2
303,5,Humans,,14,20.0,0,1,4
304,6,Humans,,34,20.0,1,0,4
305,7,Humans,,0,20.0,0,1,6
306,8,Humans,,5,20.0,0,1,2
307,9,Humans,,0,20.0,0,1,3
308,10,Humans,,2,20.0,0,1,4
309,11,Humans,,1,20.0,0,1,2
310,12,Humans,,8,20.0,0,1,3
311,13,Humans,,12,20.0,0,1,4
312,14,Humans,,6,20.0,0,1,3
313,15,Humans,,4,20.0,0,1,4
314,16,Humans,,34,20.0,1,0,6
315,17,Humans,,16,20.0,0,1,4
316,18,Humans,,3,20.0,0,1,6
317,19,Humans,,4,20.0,0,1,2
318,20,Humans,,13,20.0,0,1,2
319,21,Humans,,34,20.0,1,0,2
300,2,Humans,,4,20.0,0,1,2
320,22,Humans,,4,20.0,0,1,3
299,1,Humans,,2,20.0,0,1,2
297,22,Humans,,3,16.0,0,1,3
278,3,Humans,,1,16.0,0,1,4
279,4,Humans,,0,16.0,0,1,2
280,5,Humans,,4,16.0,0,1,4
281,6,Humans,,34,16.0,1,0,4
282,7,Humans,,0,16.0,0,1,6
283,8,Humans,,3,16.0,0,1,2
284,9,Humans,,0,16.0,0,1,3
285,10,Humans,,6,16.0,0,1,4
286,11,Humans,,1,16.0,0,1,2
287,12,Humans,,8,16.0,0,1,3
288,13,Humans,,5,16.0,0,1,4
289,14,Humans,,0,16.0,0,1,3
290,15,Humans,,18,16.0,0,1,4
291,16,Humans,,17,16.0,0,1,6
292,17,Humans,,34,16.0,1,0,4
293,18,Humans,,1,16.0,0,1,6
294,19,Humans,,2,16.0,0,1,2
295,20,Humans,,16,16.0,0,1,2
296,21,Humans,,34,16.0,1,0,2
183,23,Humans,,5,128.0,0,1,3
277,2,Humans,,2,16.0,0,1,2
321,23,Humans,,0,20.0,0,1,3
323,2,Humans,,7,24.0,0,1,2
347,3,Humans,,34,28.0,1,0,4
348,4,Humans,,0,28.0,0,1,2
349,5,Humans,,16,28.0,0,1,4
350,6,Humans,,34,28.0,1,0,4
351,7,Humans,,11,28.0,0,1,6
352,8,Humans,,15,28.0,0,1,2
353,9,Humans,,20,28.0,0,1,3
354,10,Humans,,1,28.0,0,1,4
355,11,Humans,,3,28.0,0,1,2
356,12,Humans,,34,28.0,1,0,3
